County,NAICS,NAICS Title,Year,Establishments,Average Employment,Total Wage,Annual Average Salary,CPI,Real Average Salary,Real Total Salary
Albany,0,"Total, All Industries",2018,10252,233679,13619189863.0,58282.0,273.64099999999996,58282.0,13619189863.0
Albany,1,"Total, All Private",2018,9813,172969,9545941857.0,55189.0,273.64099999999996,55189.0,9545941857.0
Albany,11,"Agriculture, Forestry, Fishing and Hunting",2018,17,235,7986065.0,33983.0,273.64099999999996,33983.0,7986064.999999999
Albany,22,Utilities,2018,11,520,67500296.0,129808.0,273.64099999999996,129808.0,67500296.0
Albany,23,Construction,2018,696,7554,587817758.0,77815.0,273.64099999999996,77815.0,587817758.0
Albany,31,Manufacturing,2018,241,7580,545438551.0,71958.0,273.64099999999996,71958.0,545438551.0
Albany,42,Wholesale Trade,2018,496,6423,474895802.0,73937.0,273.64099999999996,73937.0,474895802.0
Albany,44,Retail Trade,2018,1269,22050,700880279.0,31786.0,273.64099999999996,31786.000000000004,700880279.0
Albany,48,Transportation and Warehousing,2018,216,6159,269596541.0,43773.0,273.64099999999996,43773.0,269596541.0
Albany,51,Information,2018,162,5402,481730564.0,89176.0,273.64099999999996,89176.0,481730564.0
Albany,52,Finance and Insurance,2018,588,12495,1141953950.0,91393.0,273.64099999999996,91393.0,1141953950.0
Albany,53,Real Estate and Rental and Leasing,2018,418,3356,174710623.0,52059.0,273.64099999999996,52059.0,174710623.0
Albany,54,Professional and Technical Services,2018,1262,15345,1348664846.0,87890.0,273.64099999999996,87890.0,1348664846.0
Albany,55,Management of Companies and Enterprises,2018,85,3957,305790508.0,77278.0,273.64099999999996,77278.0,305790508.0
Albany,56,Administrative and Waste Services,2018,765,12102,432555383.0,35742.0,273.64099999999996,35742.0,432555383.0
Albany,61,Educational Services,2018,175,9276,546411947.0,58906.0,273.64099999999996,58906.0,546411947.0
Albany,62,Health Care and Social Assistance,2018,947,33768,1673688228.0,49564.0,273.64099999999996,49564.0,1673688228.0
Albany,71,"Arts, Entertainment, and Recreation",2018,157,2098,52040522.0,24805.0,273.64099999999996,24805.0,52040522.0
Albany,72,Accommodation and Food Services,2018,943,14767,329550748.0,22317.0,273.64099999999996,22317.0,329550748.0
Albany,81,"Other Services, Ex. Public Admin",2018,1123,9342,371003066.0,39713.0,273.64099999999996,39713.0,371003066.0
Albany,95,"Total, All Government",2018,439,60710,4073248006.0,67094.0,273.64099999999996,67094.0,4073248006.0000005
Albany,99,Unclassified,2018,239,157,5367669.0,34189.0,273.64099999999996,34189.0,5367669.0
Allegany,0,"Total, All Industries",2018,923,13209,525334779.0,39771.0,273.64099999999996,39771.0,525334779.00000006
Allegany,1,"Total, All Private",2018,800,9225,341737492.0,37045.0,273.64099999999996,37045.0,341737492.0
Allegany,11,"Agriculture, Forestry, Fishing and Hunting",2018,18,129,4230289.0,32793.0,273.64099999999996,32793.0,4230289.0
Allegany,21,Mining,2018,6,23,1124957.0,48911.0,273.64099999999996,48911.0,1124957.0
Allegany,22,Utilities,2018,5,55,5054594.0,91902.0,273.64099999999996,91902.0,5054594.0
Allegany,23,Construction,2018,62,384,31230527.0,81329.0,273.64099999999996,81329.0,31230527.0
Allegany,31,Manufacturing,2018,42,1842,101118344.0,54896.0,273.64099999999996,54896.0,101118344.0
Allegany,42,Wholesale Trade,2018,19,162,7966006.0,49173.0,273.64099999999996,49173.0,7966006.0
Allegany,44,Retail Trade,2018,127,1220,28475503.0,23341.0,273.64099999999996,23341.0,28475503.0
Allegany,48,Transportation and Warehousing,2018,16,162,6279559.0,38763.0,273.64099999999996,38763.0,6279559.0
Allegany,51,Information,2018,24,89,2160699.0,24278.0,273.64099999999996,24278.0,2160699.0
Allegany,52,Finance and Insurance,2018,33,196,7666951.0,39117.0,273.64099999999996,39117.0,7666951.0
Allegany,53,Real Estate and Rental and Leasing,2018,18,58,1697259.0,29263.0,273.64099999999996,29263.0,1697259.0
Allegany,54,Professional and Technical Services,2018,53,226,11564843.0,51172.0,273.64099999999996,51172.0,11564843.0
Allegany,55,Management of Companies and Enterprises,2018,4,50,3159138.0,63183.0,273.64099999999996,63183.00000000001,3159138.0
Allegany,56,Administrative and Waste Services,2018,32,190,3982009.0,20958.0,273.64099999999996,20958.0,3982009.0
Allegany,61,Educational Services,2018,8,1053,45575601.0,43282.0,273.64099999999996,43282.0,45575601.0
Allegany,62,Health Care and Social Assistance,2018,96,1479,48129141.0,32542.0,273.64099999999996,32542.0,48129141.0
Allegany,71,"Arts, Entertainment, and Recreation",2018,13,92,1331650.0,14474.0,273.64099999999996,14474.0,1331650.0
Allegany,72,Accommodation and Food Services,2018,95,1325,20589106.0,15539.0,273.64099999999996,15539.000000000002,20589106.0
Allegany,81,"Other Services, Ex. Public Admin",2018,116,482,10316738.0,21404.0,273.64099999999996,21404.0,10316738.0
Allegany,95,"Total, All Government",2018,123,3984,183597287.0,46084.0,273.64099999999996,46084.0,183597287.0
Allegany,99,Unclassified,2018,14,7,84578.0,12083.0,273.64099999999996,12083.0,84578.0
Bronx,0,"Total, All Industries",2018,18757,320591,17892276303.0,55810.0,273.64099999999996,55810.0,17892276303.0
Bronx,1,"Total, All Private",2018,17947,245382,12333995555.0,50264.0,273.64099999999996,50264.0,12333995555.0
Bronx,11,"Agriculture, Forestry, Fishing and Hunting",2018,4,21,786509.0,37453.0,273.64099999999996,37453.0,786509.0
Bronx,23,Construction,2018,1203,12107,896008329.0,74007.0,273.64099999999996,74007.0,896008329.0
Bronx,31,Manufacturing,2018,321,5587,282173789.0,50505.0,273.64099999999996,50505.0,282173789.0
Bronx,42,Wholesale Trade,2018,654,11367,746781385.0,65697.0,273.64099999999996,65697.0,746781385.0
Bronx,44,Retail Trade,2018,3779,31648,999840369.0,31593.0,273.64099999999996,31592.999999999996,999840369.0
Bronx,48,Transportation and Warehousing,2018,377,8755,391424537.0,44709.0,273.64099999999996,44709.0,391424537.0
Bronx,51,Information,2018,77,2074,147944530.0,71333.0,273.64099999999996,71333.0,147944530.0
Bronx,52,Finance and Insurance,2018,485,4764,288886120.0,60639.0,273.64099999999996,60639.0,288886120.0
Bronx,53,Real Estate and Rental and Leasing,2018,1993,9954,454729805.0,45683.0,273.64099999999996,45683.0,454729805.0
Bronx,54,Professional and Technical Services,2018,786,5110,276377634.0,54086.0,273.64099999999996,54086.0,276377634.0
Bronx,55,Management of Companies and Enterprises,2018,50,1199,104073009.0,86800.0,273.64099999999996,86800.0,104073009.0
Bronx,56,Administrative and Waste Services,2018,531,8569,333010967.0,38862.0,273.64099999999996,38862.0,333010967.0
Bronx,61,Educational Services,2018,292,15445,957689903.0,62006.0,273.64099999999996,62006.0,957689903.0
Bronx,62,Health Care and Social Assistance,2018,2381,96205,5129853392.0,53322.0,273.64099999999996,53322.0,5129853392.0
Bronx,71,"Arts, Entertainment, and Recreation",2018,133,3957,384149130.0,97081.0,273.64099999999996,97081.0,384149130.0
